ID,smiles,ref_drug,ref_target,similarity,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Known_Target_Genes,Active_Targets
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1099,PPARG,0.2467,活性,低毒性,PPARG,5468
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1064,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1047,PPARG,0.3279,高活性,毒性,NR1H3,10062;7376
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1023,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0947,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
T5178,CC(C)(C)N1C(=O)C(Nc2ccc(N3CCCCC3)cc2)=C(c2ccccc2)S1(=O)=O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.087,PPARG,0.2059,高活性,毒性,NR1H3,10062;7376
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0769,PPARG,0.4729,活性,低毒性,NR1H4,6555;8647;27413;24777;80900;50572;83569;9971;151306
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0748,PPARG,0.542,高活性,低毒性,NR1H4,9971;227289;151306
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0698,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0698,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0693,PPARG,0.2308,活性,低毒性,NR1H4,6555;8647;80900;9971;151306
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0673,PPARG,0.2395,高活性,低毒性,NR1H4,9971;227289;151306
T5770,[H][C@@]12[C@@H](O)CC3=C([C@H](C)C[C@H](O)[C@@]4([H])OC4(C)C)CC[C@]3(C)[C@@]1(C)CC[C@@]1([H])C(C)(C)C(=O)CC[C@]21C,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0571,THRB,0.3413,活性,低毒性,NR1H4,9971
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0204,NR1H3,0.4551,活性,低毒性,NR1H4,9971;151306
