rank,name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,max_tc,best_match,best_target,physchem_compliance,toxic_score,final_score
43,T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],477.69,4.23,106.86,4,4,7,0,0.4861,Obeticholic acid (OCA),FXR,1.0,0.6,0.7578
44,TN7583,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC(=O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,406.56,3.66,94.83,3,4,4,0,0.3733,Obeticholic acid (OCA),FXR,1.0,0.8,0.7533
45,TN7120,[H][C@]12CC(=O)[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCC(=O)O)[C@@]4(C)[C@@H](O)C[C@]3([H])[C@@]1(C)CC[C@@H](O)C2,406.56,3.66,94.83,3,4,4,0,0.3684,Obeticholic acid (OCA),FXR,1.0,0.8,0.7505
46,T13502,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,374.57,5.72,54.37,1,2,4,1,0.4697,Obeticholic acid (OCA),FXR,1.0,0.6,0.7484
47,TMIH-0182,[2H]C1([2H])C[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]32)C([2H])([2H])[C@@H]1O,396.6,4.48,77.76,3,3,4,0,0.4684,Aramchol,SCD1,1.0,0.6,0.7476
48,T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,364.38,4.24,86.99,3,3,6,0,0.4658,VK2809,THR-beta,1.0,0.6,0.7461
49,T11662L,[H][C@@]12CC[C@]([H])([C@H](C)C[C@H](C)C(=O)O)[C@@]1(C)[C@@H](O)C[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],450.66,4.33,97.99,4,4,5,0,0.3506,Obeticholic acid (OCA),FXR,1.0,0.8,0.7404
50,T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,449.63,3.59,106.86,4,4,6,0,0.3377,Obeticholic acid (OCA),FXR,1.0,0.8,0.7329
51,T13919,CC(C)(C)c1ccc(OCC(O)COc2ccc(C(=O)O)cc2)cc1,344.41,3.5,75.99,2,4,7,0,0.3333,BI-1467335,AOC3/VAP-1,1.0,0.8,0.7305
52,T36585,[H][C@@]12CCCC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,392.58,4.48,77.76,3,3,4,0,0.3289,Obeticholic acid (OCA),FXR,1.0,0.8,0.728
53,T65070,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)[O-])[C@]1([H])[C@H](O)C2,391.57,3.14,80.59,2,4,4,0,0.3288,Obeticholic acid (OCA),FXR,1.0,0.8,0.7279
54,T35792,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,376.58,5.51,57.53,2,2,4,1,0.4328,Obeticholic acid (OCA),FXR,1.0,0.6,0.7273
55,T36522,[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,376.58,5.51,57.53,2,2,4,1,0.4328,Obeticholic acid (OCA),FXR,1.0,0.6,0.7273
56,T78495,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CC(=O)O)[C@@]1(C)CC[C@@H](O)C2,378.55,4.09,77.76,3,3,3,0,0.3243,Obeticholic acid (OCA),FXR,1.0,0.8,0.7253
57,T2831,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,465.63,2.56,127.09,5,5,6,0,0.321,Obeticholic acid (OCA),FXR,1.0,0.8,0.7234
58,T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],527.77,4.03,123.93,4,5,8,1,0.4231,Obeticholic acid (OCA),FXR,1.0,0.6,0.7218
59,T207843,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@@H](OS(=O)(=O)O)C2,472.64,4.31,121.13,3,5,6,0,0.3171,Obeticholic acid (OCA),FXR,1.0,0.8,0.7212
60,T19124,[H][C@@]12CC(=O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,406.56,3.66,94.83,3,4,4,0,0.3125,Obeticholic acid (OCA),FXR,1.0,0.8,0.7186
61,T0516,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,401.52,2.74,91.34,0,5,4,0,0.3117,Obeticholic acid (OCA),FXR,1.0,0.8,0.7181
62,T4537,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)[O-])[C@]1([H])[C@H](O)C2,407.57,2.11,100.82,3,5,4,0,0.3117,Obeticholic acid (OCA),FXR,1.0,0.8,0.7181
63,T11557,Cc1cc(C)c(-c2[nH]nc(C)c2C)cc1C(=O)N1CC(c2ccc(C#N)cc2)C1,384.48,4.42,72.78,1,3,3,0,0.5205,Denifanstat (TVB-2640),FASN,1.0,0.4,0.7175
64,T17180,Cc1cc(C)c(-c2n[nH]c(C)c2C)cc1C(=O)N1CC(c2ccc(C#N)cc2)C1,384.48,4.42,72.78,1,3,3,0,0.5205,Denifanstat (TVB-2640),FASN,1.0,0.4,0.7175
65,T37177,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CC(=O)O)[C@]1([H])[C@H](O)C2,394.55,3.06,97.99,4,4,3,0,0.3067,Obeticholic acid (OCA),FXR,1.0,0.8,0.7152
66,T7628,CC(CCC(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,374.57,5.43,57.53,2,2,4,1,0.5152,Obeticholic acid (OCA),FXR,1.0,0.4,0.7144
67,T207106,[H][C@@]12CC(=O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCC(=O)O,390.56,4.69,74.6,2,3,4,0,0.3889,Obeticholic acid (OCA),FXR,1.0,0.6,0.7022
68,T8754,Cc1c(-c2ncco2)sc2[nH]c(=O)n(C(C)(C)C(=O)OC(C)(C)C)c(=O)c12,391.45,2.79,107.19,1,7,3,0,0.3656,Firsocostat (GS-0976),ACC,1.0,0.6,0.6889
