Rank,Type,ID,Molecule_Count
279,RefSeq,NP_038866,71
280,RefSeq,P37840,70
281,RefSeq,Q9UNQ0,70
282,RefSeq,NP_005339,70
283,RefSeq,AAP88778,70
284,RefSeq,AAC52118,70
285,RefSeq,Q9ULX7,69
286,RefSeq,P23458,69
287,RefSeq,P61169,69
288,RefSeq,P15056,69
289,RefSeq,P25021,69
290,RefSeq,NP_066564,69
291,RefSeq,AAI13547,69
292,RefSeq,P11802,68
293,RefSeq,Q9Y5N1,68
294,RefSeq,Q92769,68
295,RefSeq,O15379,68
296,RefSeq,P49840,68
297,RefSeq,AAB34216,68
298,RefSeq,NP_004570,68
299,RefSeq,P20248,67
300,RefSeq,NP_000515,67
301,RefSeq,Q13163,67
302,RefSeq,P42684,67
303,RefSeq,P04629,67
304,RefSeq,NP_612200,67
305,RefSeq,O94804,67
306,RefSeq,P48426,67
307,RefSeq,NP_005823,67
308,RefSeq,P08631,66
309,RefSeq,AAC35244,66
310,RefSeq,Q9H2G2,66
311,RefSeq,AAC05178,66
312,RefSeq,P37231,65
313,RefSeq,YP_001129431,65
314,RefSeq,P29597,64
315,RefSeq,P21802,64
316,RefSeq,P42858,64
317,RefSeq,NP_000209,64
318,RefSeq,Q8TD30,64
319,RefSeq,P25099,63
320,RefSeq,P11274,63
321,RefSeq,NP_001230975,63
322,RefSeq,EGW14942,63
323,RefSeq,NP_004128,63
324,RefSeq,Q9UM73,62
325,RefSeq,P49760,62
326,RefSeq,Q9BY41,62
327,RefSeq,P30530,62
328,RefSeq,Q05397,62
329,RefSeq,P04626,62
330,RefSeq,NP_001161829,62
331,RefSeq,NP_003833,62
332,RefSeq,AAF64255,62
333,RefSeq,NP_579856,61
334,RefSeq,NP_004949,61
335,RefSeq,NP_000048,61
336,RefSeq,NP_848757,61
337,RefSeq,P35218,60
338,RefSeq,P24864,60
339,RefSeq,P08909,60
340,RefSeq,P36897,60
341,RefSeq,P15207,60
342,RefSeq,Q13148,60
343,RefSeq,DAA10558,60
344,RefSeq,O00444,59
345,RefSeq,P28221,59
346,RefSeq,Q15418,59
347,RefSeq,Q14432,59
348,RefSeq,P42685,59
349,RefSeq,AAI36532,59
350,RefSeq,Q9HBX9,59
351,RefSeq,NP_059107,59
