rank,ID,SMILES,active_score,activity_level,toxicity_score,P_tox_high,toxicity_level,recommend_score
1694,T63208L,Cc1c2c(nc3ccccc13)CC[C@@]1(C)C2=CC[C@H]2[C@@H]3CC[C@H]([C@H](C)CCCC(C)C)[C@@]3(C)CC[C@@H]21.O=C(O)C(F)(F)F,0.136130718415064,中,0.45304827999999997,0.36127433,低毒,0.07445693058195493
1695,T7706,CC(CNS(=O)(=O)C(C)C)c1ccc(-c2ccc(C#N)cc2)cc1,0.272310089496838,中,0.72661638,0.4330205,毒,0.07444511802916956
1696,T204091,Cc1cc(-c2ccc3c(c2F)[C@@H](C)N([C@H]2CCC(=O)NC2=O)C3=O)nc(N)c1C,0.27829034238851996,中,0.7325649000000001,0.3881776,毒,0.07442460554570805
1697,T36806,Cc1c(C(=O)O)cc(-c2cc(Br)ccc2OC(F)(F)F)n1CC1CCCCC1,0.141600154845537,中,0.47441711400000003,0.42778048,低毒,0.07442261804176423
1698,T39113L,Cc1n[nH]c(C)c1-c1cnn(C2(CC#N)CN(c3cc(F)c(C(=O)N[C@@H](C)C(F)(F)F)cc3F)C2)c1.O=P(O)(O)O,0.1379036503871103,中,0.46046149799999997,0.44001457,低毒,0.07440432895019322
1699,T3707,N#Cc1ccnc(Nc2cc(C3CCN(C4COC4)CC3)cc(N3CCC(F)(F)C3)n2)c1,0.29104606307939995,中,0.7444642,0.3933361,毒,0.07437268856584492
1700,T20688L,CC(=O)O.C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCC(N)=O,0.1155959477809542,中,0.35764832999999996,0.3405102,低毒,0.07425325010232872
1701,T35898,Cc1cc(Nc2cc3ncccc3c(N[C@@H]3C[C@H]4CC[C@@H](C3)N4CCC#N)n2)n[nH]1,0.34863056832346195,高,0.7870552900000001,0.35017765,毒,0.07423903526877476
1702,T13088,Cn1cnc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(Cl)c(Br)c3)ncnc2cn1.[Br-],0.23516193481342898,中,0.68466598,0.38631502,毒,0.07415455825569651
1703,T28722,COc1ccc(S(=O)c2ccc(C(C#N)N3CCN(C4CCCCC4)CC3)cc2)cc1,0.195590495331409,中,0.62094723,0.42552394,毒,0.07413911904104266
1704,T77973,Nc1nnc(-c2ccccc2O)cc1N1CCN(Cc2ccc(OCCOCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)c(F)c2)CC1,0.3087374101780228,高,0.75987067,0.3813644,毒,0.07413690745198381
1705,T15114,C#CCOCCC(=O)NCCc1ccc(O)c(N=Nc2ccc(C(=O)NCCOCCOCCOCCNC(=O)CCCC[C@@H]3SC[C@@H]4NC(=O)N[C@@H]43)cc2)c1,0.14451192288987902,中,0.48710484,0.39501077,低毒,0.07411946581251216
1706,T6020,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1,0.2886604258252,中,0.74323357,0.450321,毒,0.0741183070214164
1707,T86137,C[N+]1=C(C=CC=CC=C2N(CCCCCC(=O)NCCCCCCN)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21.Cl.[Cl-],0.18782618982651797,中,0.6054863500000001,0.37144038,低毒,0.07409999571405246
1708,T6146,Cl.Cl.c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,0.24945445601571,中,0.7029859700000001,0.48276025,毒,0.07409147328268376
1709,T1537,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,0.18595171742904001,中,0.60172918,0.35816833,低毒,0.07405914298087206
1710,T10866,CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1,0.31713711460494,高,0.76653487,0.36307257,毒,0.07404045768906722
1711,T63290,CC(C)OC(=O)C(C)(C)N[P@@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1,0.267694791517608,中,0.7234942600000001,0.47697148,毒,0.07401914642272191
1712,T12613L,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2S(C)(=O)=O)N(C)C(=O)N1c1cccc(C(F)(F)F)c1,0.2067553625915106,中,0.64203202,0.3913238,毒,0.0740117995010506
1713,T5841,CC(C)OC(=O)CCC/C=C\CC1C(O)CC(O)C1/C=C/C(O)COc1cccc(C(F)(F)F)c1,0.14985006768051998,中,0.506139266,0.4276201,低毒,0.07400506441465127
1714,T22021,N#Cc1c(C2CCNCC2)cc(-c2c(O)cccc2OCC2CC2)nc1N,0.31521516826534396,高,0.76523739,0.39850354,毒,0.07400073561356131
