ID,SMILES,P_act,STRENGTH,P_tox_0,P_tox_1,P_tox_2
T36648,CCO.Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1.Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,0.9302108,0.2636017,0.26094043,0.23782983,0.5012297
T37824,CCOc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C#Cc2cnc(C(=O)O)cc2OC)c2ncccc12,0.90128756,0.18490057,0.33311248,0.122442804,0.5444448
T39027,CCCCCCCCCCCCCCCCCCCCCC[N+]1=C(C=CC=C2N(CCCCCCCCCCCCCC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21.[I-],0.49950552,0.21028057,0.35758793,0.05547635,0.5869357
T39836,CCOC(=O)c1ccccc1C(=O)O,0.56152934,0.030623605,0.090825155,0.0021060028,0.9070689
T40087,Cc1c(Cc2ccc(C(F)(F)F)nc2)c[nH]c1C(=O)NC1CC1,0.8700677,0.27047813,0.46494317,0.17693892,0.35811785
T40112,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)N3CCN(C(=O)CCCC(=O)Nc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,0.9381287,0.36775875,0.23377709,0.45987892,0.30634403
T63925,CSCC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)Nc1nc(-c2cccc(-c3ccncc3)c2)cs1,0.9398687,0.32184252,0.41333443,0.22848378,0.35818177
T64028,COc1cc(N2CCC3(CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,0.9767867,0.37006864,0.21037942,0.43521458,0.35440597
T69915,Cc1nn([C@@H]2CCN([C@H](C)c3cc(Cl)cc(Cl)c3)C2)c2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc12,0.91956675,0.3605617,0.3499758,0.2918735,0.35815072
T84321,FC(F)Oc1cc(Nc2cnc3cnn(CC4CCOCC4)c3n2)n[nH]1,0.90960526,0.2773749,0.41137505,0.22602153,0.36260337
T70058,Nc1ncc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)c(C(F)F)n1,0.7240394,0.14903508,0.23934528,0.12675542,0.6338993
T68059,CCCN(C(C)C)[C@H]1COc2cccc(C(=O)NC(C)C)c2C1,0.7055159,0.15897132,0.25197965,0.08160412,0.6664163
