ID,SMILES,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Active_Targets,Active_Accessions
T2547,N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1,AOC3,0.7363,活性,低毒性,8856;4286,NP_001341533;O75469
TJS0856,COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O,RXRG,0.7358,活性,低毒性,,
T9366,Nc1ncnc2[nH]ncc12,GPAM,0.7349,活性,毒性,5979,P07949
T0543,Cn1cnc2[nH]c(=O)[nH]c(=O)c21,PPARD,0.7329,活性,低毒性,9615,Q9Y2T3
T6791,O=C(Cc1ccccc1)Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1,PPARG,0.7324,活性,毒性,24398;2744;2747,3UO9_A;O94925;P49448;3UO9_B;P13264;3UO9_D
T10705,CCCCn1c(=O)sn(CC)c1=O,THRSP,0.7324,活性,低毒性,85397;5999,NP_001095915;P49798;NP_203131
T9432,Oc1ccc2cc(Br)ccc2c1,THRSP,0.7324,活性,低毒性,,
TN7209,O=C1C=C(Br)C(=O)N1,NR1H4,0.7319,活性,毒性,,
TN5757,O=Cc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,PPARG,0.7319,活性,低毒性,113580815,O42275
T0743,C[N+](C)(C)CC(O)CC(=O)[O-],ACACA,0.731,活性,毒性,6584;56517,Q9WTN6;O76082
T4883,CN(CC(=O)O)C(=N)N,AOC3,0.731,活性,低毒性,6535,P48029
T5370,O[C@H](CS)[C@H](O)CS,MLXIPL,0.729,活性,低毒性,,
T15568,O=C1NC(=O)C2(N1)c1cc(F)ccc1-c1ccc(F)cc12,ACACA,0.7285,高活性,低毒性,10327;24192;231,P14550;P15121;P07943
T8526,CN(C)C(=N)NC(=N)N,SCD,0.7285,活性,毒性,146802,NP_001243592
T4880,O=C1C[C@@H](C(=O)O)NC(=O)N1,RXRG,0.7275,活性,低毒性,,1XGE_A
T15500,NNc1nc2ccccc2[nH]c1=S,PPARD,0.7271,活性,低毒性,7468;994;1017,CAA48375;AAF95916;O96028;AAH09953;CAA43985
TN9308,Nc1nccc2ccccc12,SCD,0.7266,活性,低毒性,4843;4842;4846,P29474;P35228;P29475;3KPW_A
T37784,Cc1ccc2nc(C)ccc2c1,SCD,0.7266,活性,低毒性,1544,P05177
TQ0165,C=C1C(=O)O[C@@H]2[C@H]3C(C)=CC[C@@]34O[C@@]4(C)CC[C@@H]12,SCD,0.7266,高活性,毒性,3106;3456;7468;6850,O96028;P01574;P43405
TN9620,Cc1cc[nH]c1,THRSP,0.7266,活性,低毒性,,1LI6_A
T66936,Oc1cc2ccccc2cc1O,PPARG,0.7261,活性,低毒性,367;1557;1544,AAI32976;EAW99313;AAV41877
T2S0490,C=CCc1ccc(OC(C)=O)c(OC)c1,PPARA,0.7222,活性,低毒性,5742,P23219
T0887,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,PPARG,0.7222,活性,毒性,6515;6513;6517;6514,P11166;P11168;P11169;P14672
T21044,Cc1ccc(N2C(=O)C=CC2=O)cc1,AOC3,0.7217,活性,低毒性,,Q07794;P9WFX0
T21761,O=P(O)(O)C(O)c1ccc2ccccc2c1,MLXIPL,0.7212,活性,低毒性,3643,P06213
T20263,CC(=S)Nc1ccccc1,PPARG,0.7212,活性,低毒性,5726,O42713;P59533
T4238,N=C(N)NCC(=O)O,THRSP,0.7212,高活性,低毒性,25451;29707;140674;289606;140675;29708;79211;65191;29705;29709;81658;24947;24922;29689;25450,P28473;P15431;P19969;P62813;P63138;P63079;O09028;P18506;P30191;P18508;Q9ES14;P20236;P28471;P23574;P23576;Q91ZM7
TN9743,C1=CC2CCC1C2,THRSP,0.7207,活性,毒性,,
T8628,Oc1c(I)cc(I)cc1I,FASN,0.7192,活性,毒性,2101;7276;7201;1559;5241;4780;7157;3356;1544,P02766;AAH11558;AAH96839;AFN61604;ABB72139;EAW99313;ADZ17378;P34981;AGS09764
T77562,CO[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,PPARG,0.7192,活性,低毒性,882335,Q9HYN5;2BOI_B;2BT9_A;2JDM_A;Q05097;2JDP_B;2BOI_A;2JDU_C;2JDU_D;2JDP_A;2JDM_B;1RDI_1
