name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,max_tc,best_match,best_target
T67701,O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3sccc3n2)cc1,457.56,5.37,79.4,2,6,4,1,0.1619,Cilofexor (GS-9674),FXR
T61318,COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)C(=C(C)C)C(=O)N2,358.42,3.24,84.5,2,4,4,0,0.1619,Firsocostat (GS-0976),ACC
T17206,O=C(Cc1ccccc1)Nc1nnc(NC2CCN(c3nnc(NC(=O)Cc4ccccc4)s3)CC2)s1,534.67,3.83,125.0,3,10,9,1,0.1619,Firsocostat (GS-0976),ACC
T61191,O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccccc2C1=O,349.42,3.48,62.3,1,4,4,0,0.1619,Firsocostat (GS-0976),ACC
T68042,COc1ccc(C2=C(Cc3ccc(OCCN4CCCCC4)cc3)c3ccc(O)cc3OC2)cc1,471.6,5.81,51.2,1,5,8,1,0.1619,VK2809,THR-beta
T77666,OC(CNC1CCN(Cc2ccc(C(F)(F)F)cc2)CC1)COc1ccc2c(c1)OCO2,452.47,3.43,63.2,2,6,8,0,0.1619,VK2809,THR-beta
T37089,[H][C@]12CN(C(=O)c3cc(S(C)(=O)=O)ccc3O[C@H](C)C(F)(F)F)C[C@@]1(c1cc(C(F)(F)F)on1)C2,512.43,3.84,89.7,0,6,5,1,0.1619,Denifanstat (TVB-2640),FASN
T61702,Cn1c2ccccc2c(=O)c2c(=O)n(C3CCCCC3)c(-c3ccccc3)nc21,385.47,4.42,56.9,0,3,2,0,0.1619,Firsocostat (GS-0976),ACC
T83652,O=C(NCc1ccc(-c2ccccn2)cc1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,466.33,4.96,99.8,3,4,6,0,0.1619,Cilofexor (GS-9674),FXR
T40565,COc1cccc2c(NCCCCCO[N+](=O)[O-])ccnc12,305.33,3.03,86.5,1,6,9,0,0.1619,Firsocostat (GS-0976),ACC
T69663,O=C(CO)N1CCc2[nH]c3c(Cl)c(Cl)cc(-c4cn[nH]c4)c3c2C1,365.22,2.74,85.0,3,3,2,0,0.1619,Cilofexor (GS-9674),FXR
T87217,COc1ccccc1Nc1nc(-c2cnc3ccccn23)cs1,322.39,4.21,51.5,1,5,4,0,0.1619,Firsocostat (GS-0976),ACC
TMS1743,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,328.32,3.19,78.1,1,6,4,0,0.1618,BI-1467335,AOC3/VAP-1
T7922,CO/N=C(/C(=O)OC)c1ccccc1COc1ccccc1C,313.35,3.1,57.1,0,5,6,0,0.1618,BI-1467335,AOC3/VAP-1
TN1035,COc1ccc(-c2coc3cc(O)c(OC)c(O)c3c2=O)cc1,314.29,2.89,89.1,2,6,3,0,0.1618,BI-1467335,AOC3/VAP-1
