name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,ref_drug,ref_target,similarity,dili_prob,dili_risk
T31964,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,433.63,4.62,86.6,3,3,6,0,Obeticholic acid (OCA),FXR,0.5075,0.0553,Low
TN7583,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC(=O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,406.56,3.66,94.8,3,4,4,0,Obeticholic acid (OCA),FXR,0.5075,0.0673,Low
TN7120,[H][C@]12CC(=O)[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCC(=O)O)[C@@]4(C)[C@@H](O)C[C@]3([H])[C@@]1(C)CC[C@@H](O)C2,406.56,3.66,94.8,3,4,4,0,Obeticholic acid (OCA),FXR,0.5000,0.0504,Low
T5259,C[C@H](CCC(=O)NCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,448.62,2.26,109.7,3,5,6,0,Obeticholic acid (OCA),FXR,0.4928,0.0627,Low
T14002,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,390.56,4.69,74.6,2,3,4,0,Obeticholic acid (OCA),FXR,0.4925,0.0786,Low
T37770,[H][C@@]12C[C@H](O)[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O,499.71,3.4,123.9,4,5,7,0,Obeticholic acid (OCA),FXR,0.4857,0.0477,Low
T8092,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,498.71,3.05,126.8,3,6,7,0,Obeticholic acid (OCA),FXR,0.4789,0.0794,Low
T2532,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,499.71,3.4,123.9,4,5,7,0,Obeticholic acid (OCA),FXR,0.4722,0.0392,Low
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,499.71,3.4,123.9,4,5,7,0,Obeticholic acid (OCA),FXR,0.4722,0.0427,Low
T16998,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@]1([H])[C@@H](O)C2,499.71,3.4,123.9,4,5,7,0,Obeticholic acid (OCA),FXR,0.4722,0.0392,Low
T13502,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,374.57,5.72,54.4,1,2,4,1,Obeticholic acid (OCA),FXR,0.4697,0.0545,Low
T6993,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,498.71,3.05,126.8,3,6,7,0,Obeticholic acid (OCA),FXR,0.4658,0.0736,Low
T64334,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCC(=O)[O-])[C@@]1(C)CC[C@@H](O)C2,432.63,3.29,89.5,2,4,6,0,Obeticholic acid (OCA),FXR,0.4571,0.0733,Low
TN2215,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)[O][Na])CC[C@@]3([H])[C@]1([H])[C@H](O)C2,521.7,2.94,112.9,3,6,8,1,Obeticholic acid (OCA),FXR,0.4474,0.0688,Low
T32798,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)ON3C(=O)CCC3=O)[C@@]1(C)CC[C@@H](O)C2,473.65,5.03,83.9,1,5,5,1,Obeticholic acid (OCA),FXR,0.4384,0.1036,Low
T34788,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@@H](O)C2,483.72,4.43,103.7,3,4,7,0,Obeticholic acid (OCA),FXR,0.4384,0.0524,Low
T36585,[H][C@@]12CCCC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,392.58,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.4348,0.0437,Low
T2831,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,465.63,2.56,127.1,5,5,6,0,Obeticholic acid (OCA),FXR,0.4324,0.0394,Low
T5072,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,465.63,2.56,127.1,5,5,6,0,Obeticholic acid (OCA),FXR,0.4324,0.0394,Low
T4727,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,482.71,4.08,106.5,2,5,7,0,Obeticholic acid (OCA),FXR,0.4324,0.0892,Low
TMIH-0148,[2H]C1([2H])C[C@@]2(C)[C@H](C[C@@H](O)[C@@H]3[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]32)C([2H])([2H])[C@@H]1O,412.6,3.45,98,4,4,4,0,Obeticholic acid (OCA),FXR,0.4306,0.0833,Low
T4537,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)[O-])[C@]1([H])[C@H](O)C2,407.57,2.11,100.8,3,5,4,0,Obeticholic acid (OCA),FXR,0.4286,0.0438,Low
T5352,[H][C@@]12CCC3C[C@H](O)CC[C@]3(C)[C@@]1([H])C[C@H](O)[C@]1(C)[C@@H]([C@H](C)CCC(=O)NCC(=O)O)CC[C@]12[H],449.63,3.59,106.9,4,4,6,0,Obeticholic acid (OCA),FXR,0.4189,0.0525,Low
T2744,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)OC)[C@]1([H])[C@H](O)C2,422.61,3.54,87,3,5,4,0,Obeticholic acid (OCA),FXR,0.4167,0.0341,Low
TMIH-0182,[2H]C1([2H])C[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]32)C([2H])([2H])[C@@H]1O,396.6,4.48,77.8,3,3,4,0,Obeticholic acid (OCA),FXR,0.4167,0.0711,Low
T5077,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,391.57,3.14,80.6,2,4,4,0,Obeticholic acid (OCA),FXR,0.4143,0.0512,Low
T11515,[H][C@@]12C[C@H](OS(=O)(=O)[O-])CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)CF)[C@]1([H])[C@H](O)C2,487.65,4.42,103.7,1,6,7,0,Obeticholic acid (OCA),FXR,0.4133,0.109,Low
T19124,[H][C@@]12CC(=O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)O)[C@]1([H])[C@H](O)C2,406.56,3.66,94.8,3,4,4,0,Obeticholic acid (OCA),FXR,0.4110,0.0473,Low
T37177,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CC(=O)O)[C@]1([H])[C@H](O)C2,394.55,3.06,98,4,4,3,0,Obeticholic acid (OCA),FXR,0.4058,0.0477,Low
T37215,[H][C@@]12C[C@@H](O)[C@@]3(O)C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCCC(C)C,420.68,5.55,60.7,3,3,5,1,Obeticholic acid (OCA),FXR,0.4000,0.0348,Low
T207843,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@@H](OS(=O)(=O)O)C2,472.64,4.31,121.1,3,5,6,0,Obeticholic acid (OCA),FXR,0.3947,0.0748,Low
T78495,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CC(=O)O)[C@@]1(C)CC[C@@H](O)C2,378.55,4.09,77.8,3,3,3,0,Obeticholic acid (OCA),FXR,0.3913,0.0457,Low
T0408,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,402.53,4.07,88.5,1,4,4,0,Obeticholic acid (OCA),FXR,0.3889,0.1603,Low
T5254,C[C@H](CCC(=O)NCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,448.62,2.26,109.7,3,5,6,0,Obeticholic acid (OCA),FXR,0.3766,0.0689,Low
TN2259,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@]1([H])[C@H](O)C2,515.71,2.37,144.2,5,6,7,1,Obeticholic acid (OCA),FXR,0.3750,0.0392,Low
TWA2417,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,514.71,2.03,147,4,7,7,1,Obeticholic acid (OCA),FXR,0.3704,0.0632,Low
T75319,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@@H](O)C2,499.71,3.4,123.9,4,5,7,0,Obeticholic acid (OCA),FXR,0.3625,0.0497,Low
TJA2398,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCCS(=O)(=O)[O-])[C@@]1(C)CC[C@@H](O)C2,498.71,3.05,126.8,3,6,7,0,Obeticholic acid (OCA),FXR,0.3580,0.0823,Low
T13518,[H][C@@]12C[C@H](O)[C@@]3([H])C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H](C(C)=O)CC[C@@]21[H],334.5,3.57,57.5,2,3,1,0,Obeticholic acid (OCA),FXR,0.3548,0.053,Low
TN2349,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)[O][Na])CC[C@]43[H])[C@@]1(C)CC[C@@H](O)C2,521.7,2.94,112.9,3,6,8,1,Obeticholic acid (OCA),FXR,0.3452,0.0785,Low
T84225,[H][C@@]12C[C@H](O)[C@@]3([H])C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H],308.46,2.72,60.7,3,3,0,0,Obeticholic acid (OCA),FXR,0.3390,0.0389,Low
T0516,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,401.52,2.74,91.3,0,5,4,0,Obeticholic acid (OCA),FXR,0.3117,0.1886,Low
T41015L,[H][C@@]12CC=C3C[C@@H](OS(=O)(=O)[O-])CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCCC(C)(C)O,481.72,5.99,86.7,1,5,7,1,Obeticholic acid (OCA),FXR,0.3012,0.1417,Low
TN1879,C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O,458.6,4.13,108.7,2,5,4,0,Obeticholic acid (OCA),FXR,0.2963,0.4089,Low
T41372,CC[C@@H](C(C)C)[C@H](O)[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,494.71,3.78,107.2,4,6,6,0,Obeticholic acid (OCA),FXR,0.2805,0.0602,Low
T8465,[H][C@@]12COC(=O)[C@@]3([H])C[C@H](O)[C@H](O)C[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)[C@@H](O)[C@H](O)[C@@H](CC)C(C)C,494.71,3.78,107.2,4,6,6,0,Obeticholic acid (OCA),FXR,0.2805,0.0667,Low
T13911,[H][C@@]12CC[C@]([H])([C@H](C)CC[C@@H](O)C(C)C)[C@@]1(C)CCC/C2=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,416.65,5.56,60.7,3,3,6,1,Obeticholic acid (OCA),FXR,0.2716,0.0739,Low
T6S0107,[H][C@@]12CC[C@]3([H])[C@](C)(O)[C@]4([H])CC[C@H](C)CN4C[C@@]3([H])[C@]1([H])C[C@@]1([H])[C@@]2([H])C[C@H](O)[C@@]2([H])C[C@@H](O)CC[C@]12C,431.66,3.68,63.9,3,4,0,0,Obeticholic acid (OCA),FXR,0.2632,0.0103,Low
TN1807,[H][C@@]12CC[C@]3([H])[C@](C)(O)[C@]4([H])CC[C@H](C)CN4C[C@@]3([H])[C@]1([H])C[C@@]1([H])[C@@]2([H])C[C@@H](O)[C@@]2([H])C[C@@H](O)CC[C@]12C,431.66,3.68,63.9,3,4,0,0,Obeticholic acid (OCA),FXR,0.2632,0.0094,Low
T3151,CC(C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,480.69,3.39,107.2,4,6,5,0,Obeticholic acid (OCA),FXR,0.2625,0.0507,Low
T5514,CC(C)[C@@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,480.69,3.39,107.2,4,6,5,0,Obeticholic acid (OCA),FXR,0.2625,0.0501,Low
T36292,[H][C@@]12CC=C3C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@@H](O)CC(O)(C(F)(F)F)C(F)(F)F,484.52,5.53,60.7,3,3,3,1,Obeticholic acid (OCA),FXR,0.2625,0.0599,Low
TN1589,CC1=C(CO)C(=O)O[C@@H]([C@@H](C)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@@]56[C@@H](O)CCC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1,472.62,3.58,96.4,2,6,3,0,Obeticholic acid (OCA),FXR,0.2614,0.2027,Low
TQ0170,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@@H](c5ccc(=O)oc5)[C@@H](O)[C@H]5O[C@@]534)[C@@]1(C)CC[C@H](O)C2,400.52,3.23,83.2,2,5,1,0,Obeticholic acid (OCA),FXR,0.2561,0.1698,Low
T5687,[H][C@@]12C[C@H]3O[C@]34[C@@H](O)C=CC(=O)[C@]4(C)[C@@]1([H])CC[C@]1(C)[C@@H]([C@H](C)[C@@]3([H])CC(C)=C(CO)C(=O)O3)CC[C@@]21[H],470.61,3.35,96.4,2,6,3,0,Obeticholic acid (OCA),FXR,0.2527,0.1857,Low
TN1269,[H][C@@]12C[C@@]3([H])O[C@]34[C@@H](O)[C@@H](OC)CC(=O)[C@]4(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)[C@@]1([H])CC(C)=C(CO)C(=O)O1,502.65,3.2,105.6,2,7,4,1,Obeticholic acid (OCA),FXR,0.2500,0.2615,Low
T3432,CC(=O)[C@H]1[C@H]2O[C@]23[C@@H]2CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]2CC[C@]3(C)[C@H]1c1ccc(=O)oc1,426.55,4.07,80,1,5,2,0,Obeticholic acid (OCA),FXR,0.2471,0.2385,Low
T4A2458,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)C[C@H]3O[C@]132,384.52,4.26,63,1,4,1,0,Obeticholic acid (OCA),FXR,0.2469,0.1711,Low
