ID,SMILES,MolWt
T0135,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,356.51
T0136,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,488.33
T0137,CN1CCN2c3ncccc3Cc3ccccc3C2C1,265.36
T0138,Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,612.65
T0139,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,405.97
T0141,NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cc4cccs4)[C@H]3SC2)cc1,458.52
T0142,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,383.52
T0143,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O,766.97
T0144,Cc1cccc(C)c1NC(=O)c1ccccc1C(=O)O,269.30
T0145,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,370.23
T0146,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,387.72
T0147,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O,459.97
T0150,CC(O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,326.42
T0151,CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,324.33
T0152,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,530.46
T0153,Cc1c(-c2cnccn2)ssc1=S,226.35
T0154,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,441.90
T0155,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,508.65
T0156,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1.[Br-],609.69
T0157,CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1.Cl,384.90
T0158,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,517.41
T0159,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,255.27
T0160,O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1,256.09
T0161,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[n-]2)c1OC.O.[Na+],423.37
T0162,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,383.52
T0163,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],388.42
T0164,N[C@@H]1CCCC[C@H]1N.O=C1[O][Pt][O]C1=O,397.29
T0165,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,387.48
T0166,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1.[Br-].[Br-],732.68
T0167,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,350.46
T0168,C[C@]12CCC3c4ccc(O)cc4CCC3C1CC[C@@H]2OC(=O)CCC1CCCC1,396.57
T0169,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,246.31
T0170,C[C@@H]1O[C@@H]1P(=O)([O-])[O-].[Ca+2],176.12
T0172,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl,313.87
T0173,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1.Cl,335.88
T0174,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.Cl.Cl.O.O.O,701.78
T0175,Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,266.09
T0175L,Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N.O.O,302.12
T0178,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2.O,333.43
T0179,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,522.58
T0180,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl,460.96
T0181,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,466.96
T0182,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,321.83
T0182L,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,419.91
T0182L2,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,419.91
T0183,CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,269.39
T0184,CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.O.O.[Ca+2],558.64
T0185,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,324.40
T0186,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,861.94
T0187,CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1.Cl,353.98
