Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Cytokine Production (GO:0001818),2/178,0.0027214376879034,0.0130528215030922,0,0,32.16720779220779,189.99866795620704,NR1H4;PPARA
GO_Biological_Process_2023,Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035357),1/7,0.0031461719727636,0.013405682373845,0,0,416.3541666666667,2398.8531813702,PPARG
GO_Biological_Process_2023,Foam Cell Differentiation (GO:0090077),1/7,0.0031461719727636,0.013405682373845,0,0,416.3541666666667,2398.8531813702,PPARG
GO_Biological_Process_2023,Negative Regulation Of miRNA-mediated Gene Silencing (GO:0060965),1/7,0.0031461719727636,0.013405682373845,0,0,416.3541666666667,2398.8531813702,PPARG
GO_Biological_Process_2023,Positive Regulation Of Adipose Tissue Development (GO:1904179),1/7,0.0031461719727636,0.013405682373845,0,0,416.3541666666667,2398.8531813702,PPARG
GO_Biological_Process_2023,Negative Regulation Of SMAD Protein Signal Transduction (GO:0060392),1/7,0.0031461719727636,0.013405682373845,0,0,416.3541666666667,2398.8531813702,PPARG
GO_Biological_Process_2023,Negative Regulation Of Appetite (GO:0032099),1/7,0.0031461719727636,0.013405682373845,0,0,416.3541666666667,2398.8531813702,PPARA
GO_Biological_Process_2023,Transcription By RNA Polymerase II (GO:0006366),2/192,0.0031573228756932,0.013405682373845,0,0,29.77593984962406,171.45077880337263,THRB;PPARG
GO_Biological_Process_2023,Positive Regulation Of ATP Biosynthetic Process (GO:2001171),1/8,0.0035949086662176,0.0145481460085994,0,0,356.85714285714283,2008.4764659134423,PPARA
GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034393),1/8,0.0035949086662176,0.0145481460085994,0,0,356.85714285714283,2008.4764659134423,PPARG
GO_Biological_Process_2023,Positive Regulation Of Fatty Acid Beta-Oxidation (GO:0032000),1/8,0.0035949086662176,0.0145481460085994,0,0,356.85714285714283,2008.4764659134423,PPARA
GO_Biological_Process_2023,Negative Regulation Of Cell Differentiation (GO:0045596),2/207,0.00365847047705,0.014577597747015,0,0,27.57630662020906,154.72266266372694,PPARG;PPARA
GO_Biological_Process_2023,Negative Regulation Of Lipid Localization (GO:1905953),1/9,0.0040434660343014,0.0151776478678851,0,0,312.234375,1720.6153032705638,PPARG
GO_Biological_Process_2023,Positive Regulation Of ATP Metabolic Process (GO:1903580),1/9,0.0040434660343014,0.0151776478678851,0,0,312.234375,1720.6153032705638,PPARA
GO_Biological_Process_2023,Amine Metabolic Process (GO:0009308),1/9,0.0040434660343014,0.0151776478678851,0,0,312.234375,1720.6153032705638,AOC3
GO_Biological_Process_2023,Regulation Of Bile Acid Biosynthetic Process (GO:0070857),1/9,0.0040434660343014,0.0151776478678851,0,0,312.234375,1720.6153032705638,NR1H4
GO_Biological_Process_2023,Negative Regulation Of Glycolytic Process (GO:0045820),1/10,0.0044918441075108,0.0157214543762879,0,0,277.52777777777777,1500.1741678966396,PPARA
GO_Biological_Process_2023,Negative Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060394),1/10,0.0044918441075108,0.0157214543762879,0,0,277.52777777777777,1500.1741678966396,PPARG
GO_Biological_Process_2023,Monocyte Differentiation (GO:0030224),1/10,0.0044918441075108,0.0157214543762879,0,0,277.52777777777777,1500.1741678966396,PPARG
GO_Biological_Process_2023,Regulation Of Lipid Transport (GO:0032368),1/10,0.0044918441075108,0.0157214543762879,0,0,277.52777777777777,1500.1741678966396,PPARA
GO_Biological_Process_2023,Regulation Of Low-Density Lipoprotein Particle Clearance (GO:0010988),1/10,0.0044918441075108,0.0157214543762879,0,0,277.52777777777777,1500.1741678966396,NR1H4
GO_Biological_Process_2023,Regulation Of Fatty Acid Metabolic Process (GO:0019217),1/11,0.004940042922945,0.0157959397165773,0,0,249.7625,1326.3340991921912,PPARA
GO_Biological_Process_2023,Regulation Of Type II Interferon-Mediated Signaling Pathway (GO:0060334),1/11,0.004940042922945,0.0157959397165773,0,0,249.7625,1326.3340991921912,PPARG
