Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Pyruvate Metabolism R-HSA-70268,1/31,0.01386645428907,0.0224636559482934,0,0,83.17083333333333,355.82833874131705,PPARD
Reactome_2022,RIPK1-mediated Regulated Necrosis R-HSA-5213460,1/31,0.01386645428907,0.0224636559482934,0,0,83.17083333333333,355.82833874131705,FASN
Reactome_2022,Synthesis Of Bile Acids And Bile Salts R-HSA-192105,1/34,0.0151992604555411,0.0241400018999771,0,0,75.59848484848484,316.4936999007962,NR1H4
Reactome_2022,Signaling By Retinoic Acid R-HSA-5362517,1/41,0.0183029177773926,0.0285103142301692,0,0,62.346875,249.43081801374976,PPARD
Reactome_2022,TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,1/44,0.0196303932897657,0.0295613630460843,0,0,57.98837209302326,227.93351613623008,FASN
Reactome_2022,Bile Acid And Bile Salt Metabolism R-HSA-194068,1/45,0.0200725304633905,0.0295613630460843,0,0,56.66761363636363,221.47987353276545,NR1H4
Reactome_2022,Heme Signaling R-HSA-9707616,1/45,0.0200725304633905,0.0295613630460843,0,0,56.66761363636363,221.47987353276545,PPARA
Reactome_2022,NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,1/46,0.0205144904077938,0.0296727450541303,0,0,55.40555555555556,215.34055050751047,FASN
Reactome_2022,Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201,1/52,0.0231625317068993,0.0329151766361201,0,0,48.872549019607845,184.01586571209845,PPARA
Reactome_2022,Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406,1/54,0.0240437970896706,0.0335784062804021,0,0,47.02358490566038,175.29819860584723,PPARD
Reactome_2022,Regulated Necrosis R-HSA-5218859,1/57,0.0253643702549551,0.0342418998441895,0,0,44.49776785714285,163.5030358762894,FASN
Reactome_2022,Cytoprotection By HMOX1 R-HSA-9707564,1/57,0.0253643702549551,0.0342418998441895,0,0,44.49776785714285,163.5030358762894,PPARA
Reactome_2022,Transcriptional Regulation By MECP2 R-HSA-8986944,1/60,0.0266833549945496,0.0354319959763692,0,0,42.22881355932204,153.0251984891433,PPARG
Reactome_2022,Regulation Of PTEN Gene Transcription R-HSA-8943724,1/61,0.0271226638795165,0.0354344479716264,0,0,41.52291666666667,149.7891714493676,PPARG
Reactome_2022,Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,1/65,0.0288781375765654,0.0371290340270127,0,0,38.919921875,137.95829719612885,NR1H4
Reactome_2022,Circadian Clock R-HSA-400253,1/69,0.0306307952824743,0.0387671002793815,0,0,36.62316176470589,127.65916393890298,PPARA
Reactome_2022,Mitochondrial Biogenesis R-HSA-1592230,1/89,0.0393519815341948,0.049038623142612,0,0,28.271306818181817,91.4635848106468,PPARA
Reactome_2022,PTEN Regulation R-HSA-6807070,1/139,0.06085059226741,0.0735656413979136,0,0,17.982789855072465,50.33983013534839,PPARG
Reactome_2022,Death Receptor Signaling R-HSA-73887,1/139,0.06085059226741,0.0735656413979136,0,0,17.982789855072465,50.33983013534839,FASN
Reactome_2022,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,1/163,0.0710171787187418,0.0845939922973248,0,0,15.300154320987655,40.4663603578683,PPARD
