name,smiles,max_tc,DrugCLIP_Target,DrugCLIP_Score,active_score,toxicity_score,recommend_score
TMIH-0590,[H][C@@]12CC[C@]([H])([C@H](C)CCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC([2H])([2H])[C@@H](O)C([2H])([2H])[C@@]3([H])C[C@H](O)[C@@]21[H],0.562500,NR1H3,0.380100,0.053875,0.521727,0.025767
TN2259,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@]1([H])[C@H](O)C2,0.550000,PPARG,0.482900,0.078516,0.576101,0.033283
T65070,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)[O-])[C@]1([H])[C@H](O)C2,0.548400,NR1H3,0.311300,0.034332,0.851512,0.005098
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,0.545500,PPARG,0.230800,0.060667,0.564758,0.026405
T5234,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.545500,PPARG,0.283400,0.060667,0.564758,0.026405
TWA2417,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0.543200,PPARG,0.468300,0.059599,0.735466,0.015766
T10623,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)CF)[C@]1([H])[C@H](O)C2,0.531200,THRB,0.282200,0.055443,0.629900,0.020520
T10087,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@@H]([C@H](C)CC(=O)O)CC[C@@]3([H])[C@]1([H])[C@@H](O)C2,0.524600,NR1H3,0.429200,0.040879,0.745714,0.010395
T11557,Cc1cc(C)c(-c2[nH]nc(C)c2C)cc1C(=O)N1CC(c2ccc(C#N)cc2)C1,0.520500,PPARG,0.196500,0.270367,0.608457,0.105860
T17180,Cc1cc(C)c(-c2n[nH]c(C)c2C)cc1C(=O)N1CC(c2ccc(C#N)cc2)C1,0.520500,AOC3,0.235200,0.265352,0.623447,0.099919
T7628,CC(CCC(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,0.515200,NR1H3,0.394500,0.029537,0.779021,0.006527
T2965,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.513500,NR1H3,0.365700,0.021328,0.860353,0.002978
T13505,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@@H](O)C2,0.513500,NR1H3,0.410400,0.041737,0.740372,0.010836
T84944,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,0.513500,PPARG,0.340800,0.041737,0.740372,0.010836
