ID,SMILES,CID,MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
T2611,Cc1cc(CN2CCN(c3c(Br)cnc4nc(-c5ccc(N6CCN(C)CC6)cc5)[nH]c34)CC2)no1,25154041,C26H31BrN8O,551.5,3.3,80.6,710,1,8,5
T2612,COc1c(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc2c1CC[C@@H](N1CCOCC1)CC2,57325421,C28H35ClN6O3,539.1,4.1,115,858,3,8,7
T2613,CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@H]1CCc1ccc(C(F)(F)F)cc1,50878577,C29H31F3N2O3,512.6,6,50.8,722,1,7,8
T2614,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21,53469448,C24H20F3N5O,451.4,3.8,77,721,1,7,3
T2615,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1.Cl,9910986,C21H21Cl2NO5,438.3,,90.2,628,4,6,2
T2616,CC(=O)Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,6852167,C14H16ClN3O4S2,389.9,1.4,145,543,3,7,6
T2617,CS(=O)(=O)O.O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,24995523,C19H19ClN6O4S3,527.0,,211,625,4,10,6
T2618,Cc1cc(-c2ncc(CC(=O)Nc3ccc(-c4cnccn4)cn3)cc2C)ccn1,46926973,C23H20N6O,396.4,1.8,93.6,560,1,6,5
T2619,CS(=O)(=O)N1CCc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc21,49784945,C15H19N7O3S,377.4,-0.6,136,587,1,10,3
T2620,CN1CCC(Nc2nc(Nc3ccc(Oc4ccccc4)cc3)c3c(=O)[nH]cc(Br)c3n2)CC1,78357765,C25H25BrN6O2,521.4,4.9,91.4,716,3,7,6
T2621,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@](O)(c3ccoc3)CC[C@]12O,153976,C23H34O4,374.5,3.3,73.8,609,3,4,1
T2622,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1,25022668,C25H22N2O2,382.5,6.1,66,569,2,3,4
T2623,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,4713,C16H13NO3,267.28,2.9,61.6,407,1,4,2
T2624,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,9868037,C22H16F3N3O2S,443.4,6.2,91.5,601,2,8,6
T2625,O=C(O)CC[C@H]1CC[C@@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,9803433,C21H21ClF2O4S,442.9,4.7,79.8,665,1,6,6
T2626,Cc1cc(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2ccncc2)ccc1OCc1ccccc1,2917745,C31H33N3O5,527.6,3.7,92.2,860,1,7,9
T2627,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1.Cl.Cl,135409535,C14H14Cl2N4OS,357.3,,106,408,4,4,2
T2628,COc1ccc(C2=C(N3CCOCC3)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)cc1,71547138,C21H18Cl2N2O4,433.3,3.9,59.1,672,0,5,4
T2629,CCCCNc1ncc(C(=O)NCc2ccc(-n3ccnc3)cc2)c(NC2CCC(O)CC2)n1,71721525,C25H33N7O2,463.6,3.8,117,608,4,7,10
T2630,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,25127713,C23H21Cl2FN4O3,491.3,5.4,76.6,684,1,7,6
T2632,Cc1nn(C)c(COc2ccc(N3CCN(S(=O)(=O)N(C)C)CC3)cc2)c1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)n(CCN3CCOCC3)c12,66575373,C46H55N7O7S,850.0,3.6,143,1500,1,12,16
T2633,CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,11373846,C21H16F4N4O2,432.4,2.9,86.9,748,3,7,3
T2634,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)CC(F)(F)C(=O)N2C,25015677,C27H35F2N7O3,543.6,3.5,103,868,2,10,6
T2635,CCc1c(C(=O)NCCc2ccc(N3CCCCC3)cc2)[nH]c2ccc(Cl)cc12,44828492,C24H28ClN3O,409.9,6,48.1,530,2,2,6
T2636,CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,59422203,C18H19F3N6O,392.4,3.1,95.6,548,3,8,6
