ID,SMILES,CID,MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
T9138,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,3707,C16H11N3O2,277.28,3.2,81.2,405,3,3,1
T15369L,CC(=O)O.N[C@H](CCC(=O)NCC(=O)O)C(=O)O,156598975,C9H16N2O7,264.23,,167,271,5,8,6
T9111,Nc1ncnc2c1nnn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,96410,C9H12N6O4,268.23,-2.2,152,336,4,9,2
T22574L,CC(=O)O.CC[C@@H](C)[C@H](N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@H]1C(=O)O,156598974,C19H31N5O6,425.5,,179,560,5,8,8
TP1617L,CC(=O)O.C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)O,156598973,C56H70N10O15,1123.2,,408,2030,13,16,28
TP1730L,CC(=O)O.CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N)[C@@H](C)O)[C@@H](C)O)C(=O)O,156598972,C51H80N12O17,1133.3,,513,1960,18,20,34
TP2359,O=C(NC(Cc1c[nH]c2ncccc12)C(=O)O)OCC1c2ccccc2-c2ccccc21,46737447,C25H21N3O4,427.5,4,104,666,3,5,7
T9117,CC(C)S(=O)(=O)c1ccccc1Nc1nc(N[C@@H]2CCCN(CCCCCCCNC(=O)COc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)C2)ncc1Cl,155235839,C40H49ClN8O8S,837.4,5.4,217,1570,4,13,18
T4294,FC(F)(F)c1cc(NC(=S)Nc2ccc(Br)cc2-c2nn[nH]n2)cc(C(F)(F)F)c1,24825677,C16H9BrF6N6S,511.2,4.8,111,586,3,10,3
T9142,CN1CCc2cc(Nc3ncc(C4CC4)c(NCCCNC(=O)C4CCC4)n3)ccc2C1.Cl.Cl,124201611,C25H36Cl2N6O,507.5,,82.2,624,5,6,9
T9127,Cc1nn(-c2ccccc2)c2sc(C(=O)Nc3c(C)n(C)n(-c4ccccc4)c3=O)cc12,1142445,C24H21N5O2S,443.5,5.1,98.7,776,1,5,4
T3515,Cl.O=C(NCCN1CCOCC1)Nc1ccc(C(=O)C=Cc2cccc(N3CCOCC3)n2)cc1,137704999,C25H32ClN5O4,502.0,,96,670,3,7,8
TP1852L,CC(=O)O.CSCC[C@H](NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(N)=O,156598971,C38H71N11O10S2,906.2,,402,1380,12,14,28
T9140,CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2ccc(Cl)c(Cl)c2)CC1.Cl,139035788,C23H30Cl3N3O,470.9,,35.6,493,2,2,7
